"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CellMarker"
"Emilin1",1370.00692579058,2.6423505375913,0.292676111309391,9.02824123830878,1.74452909851299e-19,3.89602819418654e-17,0
"Gsn",29582.7616430676,2.63680953236894,0.427698997199717,6.16510571601285,7.04360669951642e-10,2.15088749071152e-08,0
"Dnm3",117.961325578191,2.63484754708152,0.406116316784389,6.48791353163087,8.70332023204741e-11,3.18405331618889e-09,0
"Ccl7",653.599279025444,2.63383067942857,0.59491675935887,4.42722555381865,9.54529049092832e-06,9.87732929569574e-05,0
"Adamts1",3206.92476923078,2.63209784535999,0.30439373101879,8.64701725804438,5.2862978226878e-18,7.60566099239208e-16,0
"Ccl2",2852.32992480383,2.62459442267902,0.680026416476354,3.85954774562832,0.000113597061639033,0.000856730258722201,0
"Lhfpl2",644.488493507218,2.61930603300267,0.443985103669987,5.89953584332323,3.64525582127899e-09,9.42037354987869e-08,0
"Gem",883.611933974093,2.60983222710502,0.464297142793701,5.62103874127141,1.8981269742942e-08,4.09246021849627e-07,0
"Plpp3",1606.71034272585,2.60851448321375,0.322981934271893,8.07634795145493,6.67352824713542e-16,6.83945227136214e-14,0
"Spock2",114.352912210522,2.60269759348908,0.469165022859842,5.54750986683549,2.89766813096632e-08,5.93942578680124e-07,0
"Fst",394.737801933388,2.59673988290067,0.497060980720702,5.22418774279082,1.74921235417925e-07,2.91139760351326e-06,0
"Gpnmb",1496.14816811357,2.59552841701663,0.450838686173437,5.75711112781065,8.55655856984242e-09,2.00049665438363e-07,0
"Reln",394.407597452838,2.5893800551217,0.37503061336141,6.90444983120982,5.03983639533808e-12,2.45638670955842e-10,0
"Nfatc4",175.624174589117,2.58382490042097,0.415761357856158,6.21468265772527,5.14284788086428e-10,1.61664774876832e-08,0
"Enc1",395.501056117596,2.57854892475182,0.408028855155281,6.31952591629952,2.62366946998186e-10,8.78254279179835e-09,0
"Ndrg4",223.203044134907,2.57822538231174,0.387780632697539,6.64866980172962,2.95753650932449e-11,1.26078686008611e-09,0
"Adcy7",473.367694570881,2.57762147053422,0.346605784445114,7.43675260544417,1.03190542941871e-13,6.92394661004132e-12,0
"Gas7",680.519285791513,2.57069915368557,0.33505832196618,7.67239308846372,1.68816654982049e-14,1.3088101598427e-12,0
"Ramp3",482.760606324327,2.56288577526097,0.585810081817672,4.37494309983324,1.21464157393297e-05,0.000121732631418346,0
"Fmod",229.067410907733,2.56021634553779,0.456849317990745,5.60407172500072,2.09373999688849e-08,4.45641985397475e-07,0
"Tmem204",105.948707437549,2.55230258867594,0.431056344437402,5.92104169585325,3.19908730795188e-09,8.35391682179476e-08,0
"Prkar1b",100.058577351384,2.54867477693713,0.511201096144751,4.98565984337297,6.17507028044215e-07,8.88438236598614e-06,0
"Ptx3",252.427144606138,2.5378249410773,0.513529572789792,4.94192559795604,7.73547374010066e-07,1.08477875888591e-05,0
"Csn2",1484.37143225706,2.52410532152505,0.864074494153095,2.92116633300118,0.00348723592865715,0.0153649915195809,0
"Angptl2",959.4925372533,2.52033483546141,0.403565283345638,6.24517256431803,4.23332478043017e-10,1.35060210425536e-08,0
"Itga4",309.977424937265,2.51715332663949,0.634675504766478,3.96604770112508,7.30742441646166e-05,0.000586278775032256,0
"Grb10",159.206239870082,2.50887825766726,0.449121334156636,5.58619256504137,2.32101867652365e-08,4.87772506416059e-07,0
