"","Var1","Var2","value","treatment","growth"
"280","Unclass","6RB",0.184342975666633,"LY","growing"
"281","CD8","3NB",0.276829917860447,"Vehicle","stable"
"282","EpCAM","3NB",0.473121022679488,"Vehicle","stable"
"283","EpCAM: SMA","3NB",0,"Vehicle","stable"
"284","SMA","3NB",0.0426761234616355,"Vehicle","stable"
"285","Unclass","3NB",0.20737293599843,"Vehicle","stable"
"286","CD8","11ND",0.380067171051444,"PDL1","stable"
"287","EpCAM","11ND",0.423177624094906,"PDL1","stable"
"288","EpCAM: SMA","11ND",0.018544266084036,"PDL1","stable"
"289","SMA","11ND",0.014002997417887,"PDL1","stable"
"290","Unclass","11ND",0.164207941351727,"PDL1","stable"
