"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean.1","log2FoldChange.1","lfcSE.1","stat.1","pvalue.1","padj.1","baseMean.2","log2FoldChange.2","lfcSE.2","stat.2","pvalue.2","padj.2"
"Mrps14",878.428303529519,-0.374237775648452,0.25318817150097,-1.47810134031881,0.139380655404873,0.38183354792141,878.428303529519,-0.403057385050671,0.253099421547918,-1.59248639362995,0.111275457953585,0.300482508411249,878.428303529519,-0.387837234135833,0.241284691760787,-1.60738433634381,0.107970083994795,0.266024041051682
"Mmp17",15.6775887998709,0.657498741239415,0.58076865011946,1.13211816978098,0.257584756912706,0.52499148898159,15.6775887998709,0.165922824046662,0.583288165236399,0.284461153055309,0.776057000233173,0.886282461833909,15.6775887998709,0.44637271110281,0.55454382467246,0.804936762872546,0.420856172521705,0.617056989589133
"Irak4",315.099467748108,-0.0623258066028242,0.19204962922775,-0.324529689817379,0.7455370482858,0.883050007659809,315.099467748108,-0.0290595158490046,0.191609808522459,-0.151659855375297,0.879455221597179,0.942024509000485,315.099467748108,0.378688826822124,0.182343375089739,2.07678960990908,0.0378209816009063,0.138721609383479
"Lamc3",19.6458942964188,0.180140794040858,0.429373442337022,0.419543400403098,0.67481904324859,0.846871120743519,19.6458942964188,0.24458535909275,0.426204049136937,0.573869158653079,0.5660563447505,0.751939523604584,19.6458942964188,0.381131840221212,0.408451728729206,0.933113544180623,0.350761346753618,0.552339963041486
"Rbpms",103.363768172814,0.0899476345953212,0.450318654883571,0.199742190601846,0.841682215281007,0.928002326261307,103.363768172814,-0.327271125992696,0.450690013475873,-0.726155708374079,0.467743320893459,0.676842908583498,103.363768172814,-0.729686195768727,0.430760990184439,-1.6939467881163,0.090275394991064,0.237503536777999
"LOC100911576",96.4364257151353,0.291810720016206,0.432065621709509,0.675385185383713,0.499431075247786,0.732734895837118,96.4364257151353,0.714423560377509,0.422347921435162,1.69155221114824,0.0907313848279489,0.268502939809094,96.4364257151353,-0.0340544961036649,0.399057912182014,-0.085337228166854,0.931993295669143,0.965930238615676
"Arl8a",1385.37763773076,-0.195582307885798,0.134300562879373,-1.45630296472746,0.145308886333321,0.390266966479088,1385.37763773076,-0.388702711966677,0.134282459528562,-2.89466482317446,0.00379563582318744,0.0463003845168458,1385.37763773076,-0.126597307733304,0.127920264187207,-0.989657960274637,0.322341329744206,0.523591958786958
"Sh3pxd2a",37.1715734562213,-0.288330152250456,0.644327252432426,-0.447490232893253,0.654521138402678,0.835301329527462,37.1715734562213,0.586537693040161,0.639172109162469,0.917652201390208,0.358800979315307,0.584264096447744,37.1715734562213,0.878384997101232,0.608974424861203,1.44240047076104,0.149189431133015,0.325075918363517
"Cpne5",34.5325432901689,0.60020678171642,0.631069312812684,0.951094863163747,0.34155622214273,0.604667639417661,34.5325432901689,-0.0631091586575794,0.632832317531868,-0.0997249301421799,0.920562707808286,0.961417795191028,34.5325432901689,-0.532044074338232,0.605792674398204,-0.878260990638036,0.379802100249586,0.580253208714646
"Ntng2",271.284962910734,-0.0777301073683602,0.187403240366949,-0.414774617643532,0.678306902423106,0.849085544194431,271.284962910734,0.0102538503815728,0.186784603024906,0.0548966575162815,0.956220794780935,0.978110155683742,271.284962910734,-0.0429549588379386,0.178341715937793,-0.240857606489116,0.80966548005341,0.893496237903299
"Hps3",378.321381955763,-0.179561693414569,0.214826839080139,-0.83584385537407,0.403242751102862,0.659046615174575,378.321381955763,-0.147563266824275,0.214510494582536,-0.687906981481029,0.491511359839472,0.695789035330475,378.321381955763,0.025679600866128,0.204478181938097,0.125586019118177,0.900059630453666,0.948483945992748
"Rassf3",2050.32441180677,0.778304272515213,0.478315577992092,1.6271773455141,0.103699437743826,0.329138025847075,2050.32441180677,0.618236483917935,0.478310052521395,1.29254336315727,0.196169038992483,0.414630014234113,2050.32441180677,-0.0154713157599224,0.455876932310704,-0.0339374832622105,0.972927003072174,0.987449457615263
"Mob3b",18.6151745187266,-0.22070279051134,0.534703302941904,-0.412757484939867,0.679784303305905,0.849588609385293,18.6151745187266,-0.754034317153158,0.53790768884295,-1.40179129763901,0.160977577893213,0.36961571064756,18.6151745187266,-0.76764290266726,0.514411416488711,-1.49227423432214,0.135627268433495,0.306798420646799
"Rtf1",995.13196600023,-0.114668020060347,0.266625997956231,-0.430070664298725,0.667144238838895,0.842583750538527,995.13196600023,-0.00873735048102897,0.26650874778769,-0.0327844791345815,0.973846455416288,0.987268256104,995.13196600023,-0.335557904384025,0.254143506588535,-1.32034813278665,0.186718812176597,0.376246668430187
"Mrpl21",496.458269905945,-0.324915207898732,0.221823174386478,-1.46474870715103,0.142989490777135,0.387234860251588,496.458269905945,-0.21270716723014,0.221521820291155,-0.960208646491666,0.336950216032626,0.566082897844675,496.458269905945,-0.449282154409919,0.211478839054558,-2.1244780632355,0.03363018848775,0.129046072104157
"Zfp94",101.296346929024,0.0857288572008385,0.331681920260527,0.25846707934367,0.796046452808499,0.90657085777981,101.296346929024,0.531128375301712,0.329896846285125,1.60998318499433,0.107401527221944,0.294467314286942,101.296346929024,0.182813435248497,0.316094516863906,0.578350542306962,0.563027477640711,0.729500933586484
"Prpf6",1385.32776885475,0.291218635544485,0.161104971005271,1.80763283545705,0.0706636642565812,0.271425714426848,1385.32776885475,0.25531123137319,0.161028371599297,1.58550464640173,0.112851722076133,0.302909551866784,1385.32776885475,0.469130756992828,0.153466587604857,3.05689182456274,0.00223644970770433,0.0236415783864566
"Bri3bp",380.520393447961,-0.370576152032105,0.200210059308621,-1.8509367277139,0.0641786561962453,0.258828905701117,380.520393447961,-0.293913675856469,0.199801408104244,-1.47102905152262,0.141283260400163,0.34374589831559,380.520393447961,-0.3454987323502,0.190694724613056,-1.811789670906,0.0700187017216308,0.204680661717838
