"","cell_type","variable","value","growth","treatment","cell_type2","sdat"
"668","T cell follicular helper_CIBERSORT","7N_B_CD45",0.223988324391106,"growing","LY","T ce","7N_B_CD45.T ce"
"669","T cell regulatory (Tregs)_CIBERSORT","7N_B_CD45",0.306220482372635,"growing","LY","T ce","7N_B_CD45.T ce"
"670","T cell gamma delta_CIBERSORT","7N_B_CD45",0,"growing","LY","T ce","7N_B_CD45.T ce"
"671","NK cell resting_CIBERSORT","7N_B_CD45",0,"growing","LY","NK c","7N_B_CD45.NK c"
"672","NK cell activated_CIBERSORT","7N_B_CD45",0.0687325121446798,"growing","LY","NK c","7N_B_CD45.NK c"
"673","Monocyte_CIBERSORT","7N_B_CD45",0.0277176289300414,"growing","LY","Mono","7N_B_CD45.Mono"
"674","Macrophage M0_CIBERSORT","7N_B_CD45",0,"growing","LY","Macr","7N_B_CD45.Macr"
"675","Macrophage M1_CIBERSORT","7N_B_CD45",0,"growing","LY","Macr","7N_B_CD45.Macr"
"676","Macrophage M2_CIBERSORT","7N_B_CD45",0.0152570949046184,"growing","LY","Macr","7N_B_CD45.Macr"
"677","Myeloid dendritic cell resting_CIBERSORT","7N_B_CD45",0.0243999381625196,"growing","LY","Myel","7N_B_CD45.Myel"
"678","Myeloid dendritic cell activated_CIBERSORT","7N_B_CD45",0.0101565960111426,"growing","LY","Myel","7N_B_CD45.Myel"
"679","Mast cell activated_CIBERSORT","7N_B_CD45",0,"growing","LY","Mast","7N_B_CD45.Mast"
"680","Mast cell resting_CIBERSORT","7N_B_CD45",0.0321752232452019,"growing","LY","Mast","7N_B_CD45.Mast"
"681","Eosinophil_CIBERSORT","7N_B_CD45",0,"growing","LY","Eosi","7N_B_CD45.Eosi"
"682","Neutrophil_CIBERSORT","7N_B_CD45",0,"growing","LY","Neut","7N_B_CD45.Neut"
"683","B cell naive_CIBERSORT","8L_D_CD45",0.12490495535864,"stable","LY","B ce","8L_D_CD45.B ce"
"684","B cell memory_CIBERSORT","8L_D_CD45",0,"stable","LY","B ce","8L_D_CD45.B ce"
"685","B cell plasma_CIBERSORT","8L_D_CD45",0.00762135580723904,"stable","LY","B ce","8L_D_CD45.B ce"
"686","T cell CD8+_CIBERSORT","8L_D_CD45",0.133063188783558,"stable","LY","T CD8","8L_D_CD45.T CD8"
"687","T cell CD4+ naive_CIBERSORT","8L_D_CD45",0,"stable","LY","T CD4","8L_D_CD45.T CD4"
"688","T cell CD4+ memory resting_CIBERSORT","8L_D_CD45",0.126460563817304,"stable","LY","T CD4","8L_D_CD45.T CD4"
"689","T cell CD4+ memory activated_CIBERSORT","8L_D_CD45",0.0768274389765203,"stable","LY","T CD4","8L_D_CD45.T CD4"
"690","T cell follicular helper_CIBERSORT","8L_D_CD45",0.144712229983567,"stable","LY","T ce","8L_D_CD45.T ce"
"691","T cell regulatory (Tregs)_CIBERSORT","8L_D_CD45",0.156971650482249,"stable","LY","T ce","8L_D_CD45.T ce"
"692","T cell gamma delta_CIBERSORT","8L_D_CD45",0,"stable","LY","T ce","8L_D_CD45.T ce"
"693","NK cell resting_CIBERSORT","8L_D_CD45",0,"stable","LY","NK c","8L_D_CD45.NK c"
"694","NK cell activated_CIBERSORT","8L_D_CD45",0.0270934921225653,"stable","LY","NK c","8L_D_CD45.NK c"
"695","Monocyte_CIBERSORT","8L_D_CD45",0.0122677708595734,"stable","LY","Mono","8L_D_CD45.Mono"
"696","Macrophage M0_CIBERSORT","8L_D_CD45",0,"stable","LY","Macr","8L_D_CD45.Macr"
"697","Macrophage M1_CIBERSORT","8L_D_CD45",0,"stable","LY","Macr","8L_D_CD45.Macr"
"698","Macrophage M2_CIBERSORT","8L_D_CD45",0.0444672606000286,"stable","LY","Macr","8L_D_CD45.Macr"
"699","Myeloid dendritic cell resting_CIBERSORT","8L_D_CD45",0.0065417153070285,"stable","LY","Myel","8L_D_CD45.Myel"
"700","Myeloid dendritic cell activated_CIBERSORT","8L_D_CD45",0.0220584115202715,"stable","LY","Myel","8L_D_CD45.Myel"
"701","Mast cell activated_CIBERSORT","8L_D_CD45",0,"stable","LY","Mast","8L_D_CD45.Mast"
"702","Mast cell resting_CIBERSORT","8L_D_CD45",0.0913672208910188,"stable","LY","Mast","8L_D_CD45.Mast"
"703","Eosinophil_CIBERSORT","8L_D_CD45",0.0256427454904367,"stable","LY","Eosi","8L_D_CD45.Eosi"
"704","Neutrophil_CIBERSORT","8L_D_CD45",0,"stable","LY","Neut","8L_D_CD45.Neut"
"705","B cell naive_CIBERSORT","8R_CU_CD45",0.0235079705324576,"growing","LY","B ce","8R_CU_CD45.B ce"
"706","B cell memory_CIBERSORT","8R_CU_CD45",0.0160124514245652,"growing","LY","B ce","8R_CU_CD45.B ce"
"707","B cell plasma_CIBERSORT","8R_CU_CD45",0,"growing","LY","B ce","8R_CU_CD45.B ce"
"708","T cell CD8+_CIBERSORT","8R_CU_CD45",0.21727017821202,"growing","LY","T CD8","8R_CU_CD45.T CD8"
"709","T cell CD4+ naive_CIBERSORT","8R_CU_CD45",0,"growing","LY","T CD4","8R_CU_CD45.T CD4"
"710","T cell CD4+ memory resting_CIBERSORT","8R_CU_CD45",0,"growing","LY","T CD4","8R_CU_CD45.T CD4"
"711","T cell CD4+ memory activated_CIBERSORT","8R_CU_CD45",0.00090959318672441,"growing","LY","T CD4","8R_CU_CD45.T CD4"
"712","T cell follicular helper_CIBERSORT","8R_CU_CD45",0.189522189870181,"growing","LY","T ce","8R_CU_CD45.T ce"
"713","T cell regulatory (Tregs)_CIBERSORT","8R_CU_CD45",0.138337208828645,"growing","LY","T ce","8R_CU_CD45.T ce"
"714","T cell gamma delta_CIBERSORT","8R_CU_CD45",0,"growing","LY","T ce","8R_CU_CD45.T ce"
"715","NK cell resting_CIBERSORT","8R_CU_CD45",0,"growing","LY","NK c","8R_CU_CD45.NK c"
"716","NK cell activated_CIBERSORT","8R_CU_CD45",0.082108668420891,"growing","LY","NK c","8R_CU_CD45.NK c"
"717","Monocyte_CIBERSORT","8R_CU_CD45",0.0398823274358098,"growing","LY","Mono","8R_CU_CD45.Mono"
"718","Macrophage M0_CIBERSORT","8R_CU_CD45",0,"growing","LY","Macr","8R_CU_CD45.Macr"
"719","Macrophage M1_CIBERSORT","8R_CU_CD45",0,"growing","LY","Macr","8R_CU_CD45.Macr"
"720","Macrophage M2_CIBERSORT","8R_CU_CD45",0.127883418803282,"growing","LY","Macr","8R_CU_CD45.Macr"
"721","Myeloid dendritic cell resting_CIBERSORT","8R_CU_CD45",0.0168450711544231,"growing","LY","Myel","8R_CU_CD45.Myel"
"722","Myeloid dendritic cell activated_CIBERSORT","8R_CU_CD45",0.0711915326059321,"growing","LY","Myel","8R_CU_CD45.Myel"
"723","Mast cell activated_CIBERSORT","8R_CU_CD45",0,"growing","LY","Mast","8R_CU_CD45.Mast"
"724","Mast cell resting_CIBERSORT","8R_CU_CD45",0.0765293895250693,"growing","LY","Mast","8R_CU_CD45.Mast"
"725","Eosinophil_CIBERSORT","8R_CU_CD45",0,"growing","LY","Eosi","8R_CU_CD45.Eosi"
"726","Neutrophil_CIBERSORT","8R_CU_CD45",0,"growing","LY","Neut","8R_CU_CD45.Neut"
"727","B cell naive_CIBERSORT","8R_CL_CD45",0,"growing","LY","B ce","8R_CL_CD45.B ce"
"728","B cell memory_CIBERSORT","8R_CL_CD45",0.0174004839628198,"growing","LY","B ce","8R_CL_CD45.B ce"
"729","B cell plasma_CIBERSORT","8R_CL_CD45",0,"growing","LY","B ce","8R_CL_CD45.B ce"
"730","T cell CD8+_CIBERSORT","8R_CL_CD45",0.109980670020483,"growing","LY","T CD8","8R_CL_CD45.T CD8"
"731","T cell CD4+ naive_CIBERSORT","8R_CL_CD45",0,"growing","LY","T CD4","8R_CL_CD45.T CD4"
"732","T cell CD4+ memory resting_CIBERSORT","8R_CL_CD45",0.0789530460365878,"growing","LY","T CD4","8R_CL_CD45.T CD4"
"733","T cell CD4+ memory activated_CIBERSORT","8R_CL_CD45",0.0996342246327746,"growing","LY","T CD4","8R_CL_CD45.T CD4"
"734","T cell follicular helper_CIBERSORT","8R_CL_CD45",0.206877836225047,"growing","LY","T ce","8R_CL_CD45.T ce"
"735","T cell regulatory (Tregs)_CIBERSORT","8R_CL_CD45",0.197324987757318,"growing","LY","T ce","8R_CL_CD45.T ce"
"736","T cell gamma delta_CIBERSORT","8R_CL_CD45",0,"growing","LY","T ce","8R_CL_CD45.T ce"
"737","NK cell resting_CIBERSORT","8R_CL_CD45",0,"growing","LY","NK c","8R_CL_CD45.NK c"
"738","NK cell activated_CIBERSORT","8R_CL_CD45",0.0154916510882976,"growing","LY","NK c","8R_CL_CD45.NK c"
"739","Monocyte_CIBERSORT","8R_CL_CD45",0.0148454741536068,"growing","LY","Mono","8R_CL_CD45.Mono"
"740","Macrophage M0_CIBERSORT","8R_CL_CD45",0,"growing","LY","Macr","8R_CL_CD45.Macr"
"741","Macrophage M1_CIBERSORT","8R_CL_CD45",0,"growing","LY","Macr","8R_CL_CD45.Macr"
"742","Macrophage M2_CIBERSORT","8R_CL_CD45",0.0183372659447069,"growing","LY","Macr","8R_CL_CD45.Macr"
"743","Myeloid dendritic cell resting_CIBERSORT","8R_CL_CD45",0.0485711167332033,"growing","LY","Myel","8R_CL_CD45.Myel"
"744","Myeloid dendritic cell activated_CIBERSORT","8R_CL_CD45",0.0441892677724314,"growing","LY","Myel","8R_CL_CD45.Myel"
"745","Mast cell activated_CIBERSORT","8R_CL_CD45",0,"growing","LY","Mast","8R_CL_CD45.Mast"
"746","Mast cell resting_CIBERSORT","8R_CL_CD45",0.126567539589138,"growing","LY","Mast","8R_CL_CD45.Mast"
"747","Eosinophil_CIBERSORT","8R_CL_CD45",0.0218264360835858,"growing","LY","Eosi","8R_CL_CD45.Eosi"
"748","Neutrophil_CIBERSORT","8R_CL_CD45",0,"growing","LY","Neut","8R_CL_CD45.Neut"
"749","B cell naive_CIBERSORT","9L_B_CD45",0,"growing","PDL1+LY","B ce","9L_B_CD45.B ce"
"750","B cell memory_CIBERSORT","9L_B_CD45",0.0238661125559708,"growing","PDL1+LY","B ce","9L_B_CD45.B ce"
"751","B cell plasma_CIBERSORT","9L_B_CD45",0,"growing","PDL1+LY","B ce","9L_B_CD45.B ce"
"752","T cell CD8+_CIBERSORT","9L_B_CD45",0.256872173212809,"growing","PDL1+LY","T CD8","9L_B_CD45.T CD8"
"753","T cell CD4+ naive_CIBERSORT","9L_B_CD45",0,"growing","PDL1+LY","T CD4","9L_B_CD45.T CD4"
"754","T cell CD4+ memory resting_CIBERSORT","9L_B_CD45",0.150188112693441,"growing","PDL1+LY","T CD4","9L_B_CD45.T CD4"
"755","T cell CD4+ memory activated_CIBERSORT","9L_B_CD45",0,"growing","PDL1+LY","T CD4","9L_B_CD45.T CD4"
"756","T cell follicular helper_CIBERSORT","9L_B_CD45",0.130121191745926,"growing","PDL1+LY","T ce","9L_B_CD45.T ce"
"757","T cell regulatory (Tregs)_CIBERSORT","9L_B_CD45",0.197389625190656,"growing","PDL1+LY","T ce","9L_B_CD45.T ce"
"758","T cell gamma delta_CIBERSORT","9L_B_CD45",0,"growing","PDL1+LY","T ce","9L_B_CD45.T ce"
"759","NK cell resting_CIBERSORT","9L_B_CD45",0,"growing","PDL1+LY","NK c","9L_B_CD45.NK c"
"760","NK cell activated_CIBERSORT","9L_B_CD45",0.174279264231278,"growing","PDL1+LY","NK c","9L_B_CD45.NK c"
"761","Monocyte_CIBERSORT","9L_B_CD45",0.010884363500565,"growing","PDL1+LY","Mono","9L_B_CD45.Mono"
"762","Macrophage M0_CIBERSORT","9L_B_CD45",0,"growing","PDL1+LY","Macr","9L_B_CD45.Macr"
"763","Macrophage M1_CIBERSORT","9L_B_CD45",0,"growing","PDL1+LY","Macr","9L_B_CD45.Macr"
"764","Macrophage M2_CIBERSORT","9L_B_CD45",0.0339467282300959,"growing","PDL1+LY","Macr","9L_B_CD45.Macr"
"765","Myeloid dendritic cell resting_CIBERSORT","9L_B_CD45",0.0125893869051688,"growing","PDL1+LY","Myel","9L_B_CD45.Myel"
"766","Myeloid dendritic cell activated_CIBERSORT","9L_B_CD45",0,"growing","PDL1+LY","Myel","9L_B_CD45.Myel"
"767","Mast cell activated_CIBERSORT","9L_B_CD45",0.00986304173408857,"growing","PDL1+LY","Mast","9L_B_CD45.Mast"
"768","Mast cell resting_CIBERSORT","9L_B_CD45",0,"growing","PDL1+LY","Mast","9L_B_CD45.Mast"
"769","Eosinophil_CIBERSORT","9L_B_CD45",0,"growing","PDL1+LY","Eosi","9L_B_CD45.Eosi"
"770","Neutrophil_CIBERSORT","9L_B_CD45",0,"growing","PDL1+LY","Neut","9L_B_CD45.Neut"
