"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TRAPPC3",0.139369642857143,0.0244521252796421,2.40255111029061,0.0166629864250666,0.0376175331856609,-4.55711694763953
"C19orf60",0.146630357142857,-0.0956438478747204,2.40181807260737,0.0166960012246378,0.0376885741400624,-4.55885422172825
"DB322220",-0.150412946428571,0.0119926174496644,-2.40088862790647,0.0167379447002215,0.0377797551366244,-4.56105622977038
"BX103892",0.158154017857143,0.0465888143176734,2.40069334636242,0.016746769047829,0.0377937060276586,-4.56151877826344
"C20orf11",0.135535714285714,-0.0600599552572707,2.40068320520451,0.0167472274165568,0.0377937060276586,-4.56154279784743
"GDPD2",-0.133758928571429,-0.164929753914989,-2.40042703175949,0.0167588098284148,0.03781634205934,-4.56214951815731
"ASB10",0.153395535714286,0.0823109619686801,2.39900691317756,0.0168231459230207,0.0379580018381637,-4.56551177598956
"KLHL9",0.127728125,0.335346756152125,2.39891693525762,0.0168272295387907,0.0379637005278447,-4.56572474134639
"ZNF524",0.141021875,0.102340939597315,2.3980167197962,0.016868133572428,0.0380524605529462,-4.56785499829274
"TMEM86B",0.130867857142857,-0.174323266219239,2.39662405029096,0.0169315862507552,0.0381920664406557,-4.57114905387522
"TAC3",-0.151608928571429,-0.0948190156599552,-2.39637106795484,0.0169431351350535,0.0382145795049041,-4.57174722788076
"DCUN1D4",0.143096428571429,-0.00130178970917226,2.3963113019975,0.016945864520377,0.038214907013057,-4.57188853484184
"OR2L8",-0.149273660714286,-0.0691257270693512,-2.39629920909898,0.0169464168246509,0.038214907013057,-4.57191712613047
"CR599196",-0.152850446428571,-0.0799823266219239,-2.3954873211774,0.0169835334630161,0.0382950627766056,-4.57383635387386
"AW855473",-0.149186160714286,-0.0641539149888143,-2.39393645036224,0.0170546327413634,0.0384518218580259,-4.57750070411634
"TFF2",-0.126852232142857,-0.105984116331096,-2.39378997533445,0.0170613613731442,0.0384634336146524,-4.57784667112007
"CLDN17",-0.142297767857143,-0.049068903803132,-2.39355351697943,0.0170722285049647,0.0384843722672506,-4.57840513083095
"AX747641",0.156088839285714,-0.0435565995525727,2.39348328026115,0.01707545761112,0.0384880909321777,-4.57857100327169
"CATSPER3",0.14660625,0.0206539149888143,2.39302900423609,0.0170963557623907,0.0385316312632201,-4.57964371588739
"BF197499",-0.162259375,-0.0100398210290828,-2.39298919718523,0.0170981880864131,0.0385321971043848,-4.57973770548974
"CA389185",0.153862053571429,0.0298313199105145,2.39278730392,0.01710748392273,0.0385495809348145,-4.58021437813606
"ERMAP",-0.158839285714286,-0.00714720357941834,-2.39271761976921,0.0171106934448338,0.0385532480687666,-4.58037889421608
"KRTAP4-11",0.154273214285714,0.0837308724832215,2.3923869535854,0.017125930537783,0.0385840121435556,-4.58115949441321
