""	"Basal"	"Her2"	"LumA"	"LumB"	"Normal"	"Call"	"Confidence"	"ROR-S (Subtype Only)"	"ROR-S Group (Subtype Only)"	"Proliferation Score"	"ROR-P (Subtype + Proliferation)"	"ROR-P Group (Subtype + Proliferation)"	"ER"	"Her2"
"D9N_Ep_"	"-0.188461538461538"	"0.132591093117409"	"-0.0639676113360324"	"0.0224696356275304"	"-0.111740890688259"	"Her2"	"0.58"	"45.2151146453918"	"med"	"0.593091497158459"	"66.7433151678085"	"high"	"-0.916265222794261"	NA
"D9R_CD45_"	"-0.0941045606229143"	"0.508342602892102"	"-0.181757508342603"	"0.478976640711902"	"-0.414905450500556"	"Her2"	"1"	"63.7099243151214"	"high"	"0.455548786504533"	"68.2846263235531"	"high"	NA	NA
"D9R_Ep_"	"-0.254303835699185"	"0.0453035336756267"	"0.0726366656599215"	"0.193597100573845"	"-0.384475989127152"	"LumB"	"0.79"	"40.8075115662586"	"med"	"0.283818782722177"	"53.1871919759354"	"high"	"1.86887257807972"	"1.7520984183452"
"10L_DN_C"	"-0.116581093325279"	"-0.421473874962247"	"0.473421926910299"	"-0.369676834793114"	"0.47327091513138"	"LumA"	"1"	"8.61067502744861"	"low"	"-0.812476361899234"	"-2.04610824253383"	"low"	"0.0599407086574543"	"0.0672516841299547"
"10R_DN_B"	"-0.168227121715494"	"-0.270160072485654"	"0.513591060102688"	"-0.409090909090909"	"0.480368468740562"	"LumA"	"1"	"8.24996292358804"	"low"	"-0.553188326204583"	"8.83956083132627"	"low"	"0.0519072438825525"	"0.613206126836547"
"10R_DN_BU"	"0.169435215946844"	"-0.20869827846572"	"0.0315614617940199"	"-0.263666565992147"	"0.0801872546058593"	"Basal"	"0.72"	"33.2374977993142"	"med"	"0.415626010331457"	"54.1263534292616"	"high"	"-0.293221250488761"	"0.674114796324997"
"11L_DN_B"	"-0.27182120205376"	"-0.379341588643914"	"0.520990637269707"	"-0.419510721836303"	"0.378435517970402"	"LumA"	"1"	"5.65450614173788"	"low"	"-0.626605966711364"	"4.89448047930125"	"low"	"1.29238095159532"	"2.01579978577083"
"11R_DN_D"	"-0.323165206886137"	"-0.152370884929024"	"0.452582301419511"	"-0.113258834189067"	"0.223497432799758"	"LumA"	"1"	"16.6859324481674"	"low"	"-0.0707445275064209"	"31.4295976149594"	"med"	"-0.251550124736431"	"0.246005846172656"
"11R_DN_C"	"0.205829054666264"	"-0.186046511627907"	"0.0866807610993657"	"-0.263062518876472"	"0.236937481123528"	"Normal"	"0.87"	"31.4752028786398"	"med"	"0.151369497996755"	"43.1693633754783"	"med"	"-0.480684747947911"	"1.00600335781785"
"12L_DN_D"	"-0.310914836723118"	"-0.28514707073981"	"0.646381978769954"	"-0.288226237744105"	"0.463900818410177"	"LumA"	"1"	"3.83977053141846"	"low"	"-1.39910470907075"	"-25.7402020196725"	"low"	"0.0859620423494769"	"1.25416179107095"
"14N_DN_C"	"-0.270462096043491"	"-0.391573542736333"	"0.613560857746904"	"-0.447900936273029"	"0.492298399275144"	"LumA"	"1"	"1.16973588608382"	"low"	"-0.875158074074374"	"-6.30492884731093"	"low"	"0.374235191504728"	"1.58807505339943"
"14N_DN_D"	"0.034581697372395"	"-0.353971609785563"	"0.380851706433102"	"-0.514648142555119"	"0.534279673814558"	"Normal"	"1"	"11.7626944443655"	"low"	"-0.301985243373993"	"19.0119703217378"	"med"	"-0.504059320469859"	"1.35206917115471"
"14R_DN_B"	"-0.37622558949842"	"-0.287253869216433"	"0.633255003646382"	"-0.245442022526538"	"0.354509359047079"	"LumA"	"1"	"4.74495205069662"	"low"	"-0.449002230107641"	"12.482859121145"	"med"	"1.10646325665475"	"1.62202137636755"
"15L_DN_B"	"-0.110993657505285"	"-0.272274237390516"	"0.416490486257928"	"-0.428118393234672"	"0.471005738447599"	"Normal"	"1"	"12.2094416806723"	"low"	"-0.517418711046187"	"11.2170942357413"	"low"	"0.226192715767041"	"1.11779752134115"
