""	"Basal"	"Her2"	"LumA"	"LumB"	"Normal"	"Call"	"Confidence"	"ROR-S (Subtype Only)"	"ROR-S Group (Subtype Only)"	"Proliferation Score"	"ROR-P (Subtype + Proliferation)"	"ROR-P Group (Subtype + Proliferation)"	"ER"	"Her2"
"D1N_CD45_Lina"	"-0.0432213590108327"	"-0.258343363606521"	"0.374329795382427"	"-0.370171791224423"	"0.538242696137433"	"Normal"	"1"	"15.4661203216982"	"low"	"-1.8650783658089"	"-41.5388914368112"	"low"	NA	"-0.765014734490022"
"D1R_CD45_Lina"	"0.0581550802139037"	"-0.0367647058823529"	"0.147393048128342"	"-0.254010695187166"	"0.404745989304813"	"Normal"	"0.98"	"30.5678801985687"	"med"	"-0.935928483304502"	"0.472753883865062"	"low"	NA	"-0.712269044962883"
"D2N_CD45_Lina"	"0.0642573535369905"	"-0.364233044323799"	"0.331172514382951"	"-0.524025605704562"	"0.672797990438376"	"Normal"	"1"	"13.6617547220408"	"low"	"-2.02529984411018"	"-49.2040059111157"	"low"	"-1.54921774166721"	"0.421441968037721"
"D2N_CD45_"	"0.0319327731092437"	"0.261904761904762"	"-0.297759103641457"	"0.281232492997199"	"-0.271988795518207"	"LumB"	"0.9"	"62.221811338606"	"high"	"0.167577795053897"	"54.9457811807014"	"high"	NA	NA
"D2N_Ep_"	"0.0144971307762005"	"0.0412262156448203"	"0.0499848988221081"	"-0.157958320749018"	"0.154485049833887"	"Normal"	"0.68"	"37.1395860310551"	"med"	"0.194355077250159"	"47.774221273179"	"med"	"-0.290331887504822"	"0.582966324493062"
"D2R_CD45_Lina"	"-0.0178356494145968"	"-0.20319509793194"	"0.248057774373564"	"-0.225517014990699"	"0.431666484298063"	"Normal"	"0.99"	"24.0539950470833"	"med"	"-1.81266063469699"	"-36.7516389784272"	"low"	"-2.71729443345987"	"-0.602192989166314"
"D3R_CD45_Lina"	"-0.145470383275261"	"-0.194250871080139"	"0.378919860627178"	"-0.236585365853659"	"0.500348432055749"	"Normal"	"1"	"17.9431993207624"	"low"	"-1.26761094718672"	"-16.4874330913516"	"low"	"-0.901175777442165"	"-0.404973436844119"
"D3R_CD45_"	"0.337837837837838"	"0.216216216216216"	"-0.494784257942153"	"0.155761024182077"	"-0.320293978188715"	"Basal"	"0.96"	"69.1362271550498"	"high"	"0.793117380671681"	"80.9293301486576"	"high"	NA	NA
"D3R_Ep_"	"0.0936273029296285"	"-0.163545756569012"	"0.0388100271821202"	"-0.0433403805496829"	"0.0856236786469345"	"Basal"	"0.45"	"36.9079670986196"	"med"	"0.472851798034235"	"57.9794211723389"	"high"	"0.599354963312554"	"0.265042777587741"
"D4R_CD45_Lina"	"-0.0564784053156146"	"-0.228480821504077"	"0.306704922983993"	"-0.222591362126246"	"0.515252189670794"	"Normal"	"1"	"21.1095114486471"	"low"	"-1.2615155439428"	"-15.6435766270447"	"low"	"-0.36110154990537"	"-1.39122035685364"
"D4R_CD45_"	"0.147560975609756"	"0.229094076655052"	"-0.267595818815331"	"0.291637630662021"	"-0.197909407665505"	"LumB"	"0.94"	"61.2369162490265"	"high"	"0.796516848491097"	"79.436091451312"	"high"	NA	"-1.62849936779964"
"D4R_Ep_"	"0.189519782543038"	"-0.406825732407128"	"0.233917245545153"	"-0.424947145877378"	"0.473119903352462"	"Normal"	"1"	"19.3458167768757"	"low"	"-0.149252048296751"	"26.8127197365413"	"med"	"-0.303209130347499"	"-0.171920543750987"
"D7N_CD45_Lina"	"0.0215946843853821"	"0.166112956810631"	"-0.0850196315312595"	"-0.124886741165811"	"0.188462700090607"	"Normal"	"0.77"	"45.1558841652602"	"med"	"-0.215665585389911"	"34.1648335352122"	"med"	"-0.315184926045622"	"-0.878562116082393"
"D7R_CD45_Lina"	"-0.146028390214437"	"0.282996073693748"	"0.0120809423135005"	"-0.00830564784053156"	"0.0647840531561462"	"Her2"	"0.93"	"43.9641852889655"	"med"	"-0.377339167769804"	"28.286380405665"	"med"	"-0.778907296196632"	"-0.0587025237480221"
"D8N_CD45_Lina"	"0.013588850174216"	"0.136933797909408"	"-0.164808362369338"	"0.32822299651568"	"-0.113763066202091"	"LumB"	"0.96"	"55.572468579627"	"high"	"-0.652895207140425"	"20.0392379058104"	"med"	"0.32481800068788"	"-0.72640741083814"
"D8R_CD45_Lina"	"-0.286318332829961"	"-0.0590456055572335"	"0.417698580489278"	"-0.0990637269707037"	"0.339172455451525"	"LumA"	"0.99"	"19.9206612432711"	"low"	"-1.15218748540949"	"-10.4097870192149"	"low"	"-0.998834942835851"	"-0.699467286149968"
"D9N_Ep_"	"-0.17995951417004"	"0.125910931174089"	"-0.0663967611336032"	"0.0117408906882591"	"-0.0953441295546559"	"Her2"	"0.56"	"45.0805449585616"	"med"	"0.594951071385662"	"66.7269392906312"	"high"	"-0.909086746353776"	NA
"D9R_CD45_"	"-0.10567296996663"	"0.494549499443827"	"-0.162180200222469"	"0.475862068965517"	"-0.398442714126808"	"Her2"	"0.99"	"62.5866905201858"	"high"	"0.446775625564322"	"67.5869284081142"	"high"	NA	NA
"D9R_Ep_"	"-0.269707037148898"	"0.033373603141045"	"0.0862277257626095"	"0.197070371488976"	"-0.377227423739052"	"LumB"	"0.8"	"40.0509207426226"	"med"	"0.267517259685442"	"52.3105305575986"	"med"	"1.87195332413118"	"1.78192564798478"
"10L_DN_C"	"-0.131833282996074"	"-0.415584415584416"	"0.488976140138931"	"-0.366354575656901"	"0.469797644216249"	"LumA"	"1"	"8.0322840192229"	"low"	"-0.822809004620839"	"-2.56279733398138"	"low"	"0.0689203626018728"	"0.0984795348328369"
"10R_DN_B"	"-0.164149803684687"	"-0.268649954696466"	"0.517366354575657"	"-0.412111144669284"	"0.484294774992449"	"LumA"	"1"	"8.0853049929824"	"low"	"-0.565898588453738"	"8.28543307595079"	"low"	"0.0633159239892601"	"0.64896717315405"
"10R_DN_BU"	"0.173814557535488"	"-0.226366656599215"	"0.0477197221383268"	"-0.284808215040773"	"0.107822410147992"	"Basal"	"0.74"	"31.9767091987493"	"med"	"0.399402326793702"	"53.0322448684357"	"high"	"-0.282555100130141"	"0.705272449040136"
"11L_DN_B"	"-0.272123225611598"	"-0.385231048021746"	"0.526276049531864"	"-0.417547568710359"	"0.382059800664452"	"LumA"	"1"	"5.38035706219908"	"low"	"-0.639557544501986"	"4.28298276952045"	"low"	"1.29649460829606"	"2.04352222393334"
"11R_DN_D"	"-0.326638477801269"	"-0.150105708245243"	"0.455602536997886"	"-0.109634551495017"	"0.220628209000302"	"LumA"	"1"	"16.6373559034946"	"low"	"-0.0870143030170137"	"30.7877169378006"	"med"	"-0.23823345728076"	"0.28472655067159"
"11R_DN_C"	"0.199486559951676"	"-0.186499546964663"	"0.0986106916339475"	"-0.254605859257022"	"0.233313198429478"	"Normal"	"0.87"	"31.0840123033738"	"med"	"0.135976753781726"	"42.468904370645"	"med"	"-0.46875993040769"	"1.03515438225829"
"12L_DN_D"	"-0.316911109310429"	"-0.286119439267482"	"0.652702374199822"	"-0.292115711854793"	"0.454177133133458"	"LumA"	"1"	"3.468767239665"	"low"	"-1.40692907544475"	"-26.1524030276165"	"low"	"0.095376954176194"	"1.28227269550825"
"14N_DN_C"	"-0.268498942917548"	"-0.38840229537904"	"0.613107822410148"	"-0.444880700694654"	"0.492147387496225"	"LumA"	"1"	"1.29525519782543"	"low"	"-0.886061381555041"	"-6.69093221961173"	"low"	"0.382850893729088"	"1.61633165392315"
